Kode Item,Deskripsi,Presence Count,H_norm,Max Share,Wilayah Dominan,Label
9211-260,LYRA-REFILL SKETCH BOOK A4 30 SHT,4,0.8648,0.5000,Jakarta Utara,Regional
9211250,LYRA-REFILL SKETCH BOOK A5 3O SHT,4,0.7647,0.4381,Jakarta Timur,Regional
9211260,LYRA-REFILL SKETCH BOOK A4 30 SHT,4,0.7887,0.4583,Jakarta Timur,Regional
9211290,LYRA-REFILL SKETCH BOOK A3 30 SHT,4,0.6623,0.6000,Jakarta Pusat,Regional
100720015,CANSON HERITAGE 12S 26X36 CP 300G,3,0.7310,0.6000,Jakarta Timur,Regional
100720017,CANSON HERITAGE 12S 26X36 HP 300G,3,0.9629,0.4615,Jakarta Timur,Regional
1110102,669 2B LYRA-GRAPHITE PENCIL ART DESIGN 2B,3,0.8587,0.5000,Jakarta Utara,Regional
1110106,669 6B LYRA-GRAPHITE PENCIL ART DESIGN 6B,3,0.9089,0.5000,Jakarta Timur,Regional
1110108,669 8B LYRA-GRAPHITE PENCIL ART DESIGN 8B,3,0.8976,0.5000,Jakarta Timur,Regional
1110109,669 9B LYRA GRAPHITE PENCIL ART DESIGN 9B,3,0.9093,0.4762,Jakarta Utara,Regional
1110110,669 F LYRA-GRAPHITE PENCIL ART DESIGN F,3,0.9141,0.4286,"Jakarta Timur, Jakarta Utara",Regional
126975020,Simply Acrylic 75ml Sl Cream,3,0.9293,0.5000,Jakarta Pusat,Regional
126975026,Simply Acrylic 75ml Sl Black,3,0.9413,0.4839,Jakarta Timur,Regional
126975123,Simply Acrylic 75ml Sl Ultramarine,3,0.9300,0.5217,Jakarta Pusat,Regional
126975128,Simply Acrylic 75ml Sl Light Blue,3,0.9826,0.4211,Jakarta Timur,Regional
126975142,Simply Acrylic 75ml Sl Dark Blue,3,0.8929,0.5556,Jakarta Timur,Regional
126975205,Simply Acrylic 75ml Sl Brown,3,0.9821,0.4286,Jakarta Timur,Regional
126975213,Simply Acrylic 75ml Sl Ligth Brown,3,0.9141,0.4286,"Jakarta Pusat, Jakarta Timur",Regional
126975220,Simply Acrylic 75ml Sl Portrait Pink,3,0.9216,0.5238,Jakarta Pusat,Regional
126975247,Simply Acrylic 75ml Sl Raw Umber,3,0.9602,0.4000,"Jakarta Timur, Jakarta Utara",Regional
126975348,806017 LYRA MODELLING CLAY 500GR RED,3,0.8528,0.5556,Jakarta Pusat,Regional
126975349,Simply Acrylic 75ml Sl Neon Green,3,0.9912,0.4000,Jakarta Pusat,Regional
126975355,Simply Acrylic 75ml Sl Leaf Green,3,0.9206,0.5000,Jakarta Timur,Regional
